SKU,Items Name,Details ,Unit,Item_Type,VAT,Max_Unit_Rate,Unit_Rate_Excl_VAT,Vat_Amnt,Final_Rate,Discount_percent,Discount_amount
25489,Wooden modified keyboard tray,Standard Quality,nos, Supply ,10%,1002.79,910.91,91.09,1002,0.08%,0.79
25490,Wash Room HPL board partition ,Standard Quality,sft, Supply ,10%,716.28,650.91,65.09,716,0.04%,0.28
25491,Large Bin (SS),Standard Quality,Nos, Supply ,10%,2967.44,2697.27,269.73,2967,0.01%,0.44
25492,LED 3D letter Cut Signage Servicing,Standard Quality,sft, Supply ,10%,306.98,278.18,27.82,306,0.32%,0.98
25493,"ACP,Brand: Tiger, Color: blue, Thickness: 3mm,(Cutting with grouping)",Standard Quality,sft, Supply ,10%,460.47,418.18,41.82,460,0.10%,0.47
25494,"All letter 5mm Acrylic Front Side Opel, Top side 4mm Blue, Cutting with palsised",Standard Quality,sft, Supply ,10%,1227.91,1115.45,111.55,1227,0.07%,0.91
25495,Frame: 2? Hollow Box with Signage Frame,Standard Quality,Rft, Supply ,10%,255.81,231.82,23.18,255,0.32%,0.81
25496,"PVC Board, Thickness 5mm",Standard Quality,Sft, Supply ,10%,122.79,110.91,11.09,122,0.64%,0.79
25497,Power Supply: 24 Volt/66amp,Standard Quality,Nos, Supply ,10%,2558.14,2325.45,232.55,2558,0.01%,0.14
25498,Light LED Module: 3m Pe FOAM,Standard Quality,Nos, Supply ,10%,51.16,46.36,4.64,51,0.32%,0.16
25499,Brac Bank Logo with UV Print,Standard Quality,Sft, Supply ,10%,409.30,371.82,37.18,409,0.07%,0.30
25500,Iron Angle Back Side TANA with Main Signage,Standard Quality,Rft, Supply ,10%,255.81,231.82,23.18,255,0.32%,0.81
25501,1.5 RM BRB Cable,BRB,Rft, Supply ,10%,25.58,22.73,2.27,25,2.27%,0.58
25502,2.5 RM BRB Cable,BRB,Rft, Supply ,10%,38.88,34.55,3.45,38,2.27%,0.88
25503,"ALUMINUM COMPOSITE PANELING ÿSupplying, fitting & fixing foreign made aluminum composite panel [Alcoban/Alcopla Brand] consisting to two thin [0.4mm] aluminum alloy sheets sandwich with them plastic composite core having total thickness 4 mm of approved color, panels fixed on aluminum structural sections, complete in all respect in/c necessary hardwires, sealant etc. in/c required scaffoldings etc. complete in all respect as per design, drawing and direction of Architect/Authority.",Standard Quality,Sft, Supply ,10%,767.44,697.27,69.73,767,0.06%,0.44
25504,"ALLUMINUM/ALUMINUM LOUVER Supplying, fitting and fixing of aluminum louver screen to house outdoor AC units made of 4? section colored anodized / powder coated aluminum louver sections with all foreign made hardwires, sealant etc. in/c required scaffoldings etc. complete in all respect as per design, drawing and direction of Architect/Authority.",Standard Quality,Sft, Supply ,10%,920.93,836.36,83.64,920,0.10%,0.93
25505,Wooden Works (Ctg Teak/Mahogany/approved by authority),Standard Quality,Cft, Supply ,10%,3069.77,2790.00,279.00,3069,0.03%,0.77
25506,ALUMINUM COMPOSITE PANELING Servicing,Standard Quality,Sft, Service ,15%,418.18,363.48,54.52,418,0.04%,0.18
25507,ALLUMINUM/ALUMINUM LOUVER Servicing,Standard Quality,Sft, Service ,15%,470.45,408.70,61.30,470,0.10%,0.45
25508,All Purpose Cloth Duster,Standard quality,Nos, Supply ,10%,204.65,185.45,18.55,204,0.32%,0.65
25509,Auto Air Freshener refill,"DRACO, Korea( Premium Air freshener)",Nos, Supply ,10%,511.63,464.55,46.45,511,0.12%,0.63
25510,Black Pad,Standard quality,Nos, Supply ,10%,1023.26,930.00,93.00,1023,0.03%,0.26
25511,Broom Hard,Standard quality,Nos, Supply ,10%,204.65,185.45,18.55,204,0.32%,0.65
25512,Broom Long,Standard quality,Nos, Supply ,10%,153.49,139.09,13.91,153,0.32%,0.49
25513,Broom Soft,Standard quality,Nos, Supply ,10%,153.49,139.09,13.91,153,0.32%,0.49
25514,Dish wash liquid,Trix/Vim,Ltr, Supply ,10%,358.14,325.45,32.55,358,0.04%,0.14
25515,Dust Controlÿ Cloth 24 inch,Standard quality,Nos, Supply ,10%,204.65,185.45,18.55,204,0.32%,0.65
25516,Dust Control Pole Stick Set,Standard quality,Nos, Supply ,10%,2046.51,1860.00,186.00,2046,0.03%,0.51
25517,Floor Squeeze Set,Standard quality,Nos, Supply ,10%,1944.19,1767.27,176.73,1944,0.01%,0.19
25518,Flushmatic,Harpic,Nos, Supply ,10%,245.58,222.73,22.27,245,0.24%,0.58
25519,Hand Brush,Standard quality,Nos, Supply ,10%,102.33,92.73,9.27,102,0.32%,0.33
25520,Hand Towel Tissue,Bashundhara/ Fresh,Nos, Supply ,10%,204.65,185.45,18.55,204,0.32%,0.65
25521,Hand wash Liquid,Savlon/Detol/Sepnil/Lifeboy,Ltr, Supply ,10%,429.77,390.00,39.00,429,0.18%,0.77
25522,Hard Pad,Standard quality,Nos, Supply ,10%,20.47,18.18,1.82,20,2.27%,0.47
25523,Toilet Cleaner,Harpic,Ltr, Supply ,10%,399.07,362.73,36.27,399,0.02%,0.07
25524,Mop Cloth,Standard quality,Nos, Supply ,10%,122.79,110.91,11.09,122,0.64%,0.79
25525,Mop Head 6 INCH Blue,Standard quality,Nos, Supply ,10%,491.16,446.36,44.64,491,0.03%,0.16
25526,Mop Pole Stick,Standard quality,Nos, Supply ,10%,327.44,297.27,29.73,327,0.13%,0.44
25527,Naphthalene,"Super, Overseas Enterprise",pkt, Supply ,10%,122.79,110.91,11.09,122,0.64%,0.79
25528,Odonil,Odonil,Nos, Supply ,10%,102.33,92.73,9.27,102,0.32%,0.33
25529,Poly Bag,Standard quality(Black clour),Nos, Supply ,10%,30.70,27.27,2.73,30,2.27%,0.70
25530,Antiseptic,Savlon/Detol,Ltr, Supply ,10%,501.40,455.45,45.55,501,0.08%,0.40
25531,Floor Cleaner,Lizol/Shinex,Ltr, Supply ,10%,327.44,297.27,29.73,327,0.13%,0.44
25532,Spray Bottle,Standard quality,Nos, Supply ,10%,194.42,176.36,17.64,194,0.22%,0.42
25533,Spray Gun,Standard quality,Nos, Supply ,10%,102.33,92.73,9.27,102,0.32%,0.33
25534,Furniture cleaner,"Kelly's , Teepol- 500 ml",500 ml, Supply ,10%,327.44,297.27,29.73,327,0.13%,0.44
25535,Glass Cleaner,"Mr. Brasso, kellys-500 ml",500 ml, Supply ,10%,225.12,204.55,20.45,225,0.05%,0.12
25536,Toilet Tissue,Bashundhara/Fresh,Nos, Supply ,10%,30.70,27.27,2.73,30,2.27%,0.70
25537,Urinal Screen,Taski,Nos, Supply ,10%,736.74,669.09,66.91,736,0.10%,0.74
25538,Vim Powder 500gm,VIM,500 gm, Supply ,10%,92.09,83.64,8.36,92,0.10%,0.09
25539,Wheel Powder 500gm,Wheel,500 gm, Supply ,10%,97.21,88.18,8.82,97,0.22%,0.21
25540,Cane Partition (folding) Size 6'x6' ,Standard Quality,Nos, Supply ,10%,15860.47,14418.18,1441.82,15860,0.00%,0.47
25541,Artificial Cane Partition (folding) Size 6'x6',Standard Quality,Nos, Supply ,10%,17395.35,15813.64,1581.36,17395,0.00%,0.35
25542,"MS Grill ( Flat Bar,  5mmX18mm, 4"" gap with painting , supply & fixing",Standard Quality,SFT, Service ,15%,731.82,635.65,95.35,731,0.11%,0.82
25543,Steel Cabinet ,Standard Quality,sft, Supply ,10%,746.98,678.18,67.82,746,0.13%,0.98
25544,Battery (large size),Haque/ sunlight,Nos, Supply ,10%,122.79,110.91,11.09,122,0.64%,0.79
25545,Clip board,Standard,Nos, Supply ,10%,225.12,204.55,20.45,225,0.05%,0.12
25546,"Pannel Light (Size 6""X 4')","Transtec, Magaman, Philps, Osaka, Energypac, ACI",Nos, Supply ,10%,787.91,715.45,71.55,787,0.12%,0.91
25547,Pannel Light (Size 1'X 4'),"Transtec, Magaman, Philps, Osaka, Energypac, ACI",Nos, Supply ,10%,3806.51,3460.00,346.00,3806,0.01%,0.51
25548,Bib Cock,Sattar,Nos, Supply ,10%,3120.93,2836.36,283.64,3120,0.03%,0.93
25549,Hand shower,Bravat,Nos, Supply ,10%,3069.77,2790.00,279.00,3069,0.03%,0.77
25550,Moving Pillar Cock,Cotto,Nos, Supply ,10%,3581.40,3255.45,325.55,3581,0.01%,0.40
25551,Bib Cock,Rocha,Nos, Supply ,10%,2558.14,2325.45,232.55,2558,0.01%,0.14
25552,Door Stopper,China,Nos, Supply ,10%,225.12,204.55,20.45,225,0.05%,0.12
25553,Water Dispoenser Cock,China,Nos, Supply ,10%,153.49,139.09,13.91,153,0.32%,0.49
25554,Tea Trolley Wheel -Big Size,Standard Quality,Nos, Supply ,10%,2046.51,1860.00,186.00,2046,0.03%,0.51
25555,Shifting Trolley Wheel Small Size,Standard Quality,Nos, Service ,15%,1881.82,1635.65,245.35,1881,0.04%,0.82
25556,Chair Base,china,Nos, Supply ,10%,2558.14,2325.45,232.55,2558,0.01%,0.14
25557,Wooden Solid door (7'X3') supply & fittings (Chowkat Garjon wood and Palla Solid garjon board),Garjon,nos, Supply ,10%,16372.09,14883.64,1488.36,16372,0.00%,0.09
25558,Tools Bag for Technician,Standard Quality,nos, Supply ,10%,1023.26,930.00,93.00,1023,0.03%,0.26
25559,1.5 Ton Covered Van-Full Day inside Dhaka,,, Service ,15%,10454.55,9090.43,1363.57,10454,0.01%,0.55
25560,1.5 Ton Covered Van-Outside Dhaka,,nos, Service ,15%,12545.45,10908.70,1636.30,12545,0.00%,0.45
25561,3 Ton Covered Van-Full Day inside Dhaka,,nos, Service ,15%,12545.45,10908.70,1636.30,12545,0.00%,0.45
25562,3 Ton Covered Van-Outside Dhaka,,nos, Service ,15%,15681.82,13635.65,2045.35,15681,0.01%,0.82
25563,Canopy for ATM Booth,ACP with SS frame,RFT, Supply ,10%,4093.02,3720.91,372.09,4093,0.00%,0.02
25564,Tray SS,Standard Quality,sft, Supply ,10%,409.30,371.82,37.18,409,0.07%,0.30
25565,Tin shed Boundary wall with relevant accessories,Standard Quality,sft, Service ,15%,261.36,226.96,34.04,261,0.14%,0.36
25566,Toilet Name Plate (MALE/FEMALE),Standard Quality,Pcs, Supply ,10%,818.60,743.64,74.36,818,0.07%,0.60
25567,PUSH PULL Sticker,Standard Quality,Pcs, Supply ,10%,102.33,92.73,9.27,102,0.32%,0.33
25568,Window Catchment Lock,Standard Quality,Pcs, Supply ,10%,153.49,139.09,13.91,153,0.32%,0.49
25569,Pressure Release Valve ??,Standard Quality,Pcs, Supply ,10%,6139.53,5580.91,558.09,6139,0.01%,0.53
25570,Pressure Release Valve 1?,Standard Quality,Pcs, Supply ,10%,6651.16,6046.36,604.64,6651,0.00%,0.16
25571,Pressure Release Valve 1.5?,Standard Quality,Pcs, Supply ,10%,15348.84,13952.73,1395.27,15348,0.01%,0.84
25572,Steel Pedestal Bin 6 Lt. (China),Standard Quality,Pcs, Supply ,10%,3888.37,3534.55,353.45,3888,0.01%,0.37
25573,Steel Pedestal Bin 8 Lt. (China),Standard Quality,Pcs, Supply ,10%,4297.67,3906.36,390.64,4297,0.02%,0.67
25574,Steel Pedestal Bin 10 Lt. (China),Standard Quality,Pcs, Supply ,10%,6139.53,5580.91,558.09,6139,0.01%,0.53
25575,Triple shed Zebra Roller Blinds with all necessary accessories,Standard Quality,sft, Supply ,10%,511.63,464.55,46.45,511,0.12%,0.63
25576,Double Layer Rollar Blinds,Standard Quality,sft, Supply ,10%,276.28,250.91,25.09,276,0.10%,0.28
25577,Sofa Fabric Change,Standard Quality,Pcs, Supply ,10%,7162.79,6510.91,651.09,7162,0.01%,0.79
25578,"MIRROR POLISHED HOMOGENEOUS FLOOR TILE [IMPORTED, CREAM COLOR] Supplying, fitting and fixing homogeneous floor tiles [Imported] of 24"" x 24"" size and quality on 20 mm thick cement mortar (1:2) base or by ?CONMIX? base and raking out the joints with white cement and colored pigment including cutting by electric disk cutter and laying tiles in proper way in/c chipping or dismantling of existing floor if necessary and finishing with care etc., complete in all respect as per design drawing and direction of Architect/Authority. ",Standard Quality,Sft, Supply ,10%,327.44,297.27,29.73,327,0.13%,0.44
25579,"MIRROR POLISHED HOMOGENEOUS FLOOR TILE [LOCAL/VITRIFIED] Supplying, fitting and fixing homogeneous floor tiles [Imported] of 24"" x 24"" size and quality on 20 mm thick cement mortar (1:2) base or by ?CONMIX? base and raking out the joints with white cement and colored pigment including cutting by electric disk cutter and laying tiles in proper way in/c chipping or dismantling of existing floor if necessary and finishing with care etc., complete in all respect as per design drawing and direction of Architect/Authority. ",Standard Quality,Sft, Supply ,10%,291.63,264.55,26.45,291,0.22%,0.63
25580,"CERAMIC WALL TILE [local] Supplying, fitting and fixing colored glazed wall tiles [Spanish] of 12"" x 24""  & quality on 20 mm thick cement mortar [1:2] base and raking out the joints with white cement including cutting and laying the tiles in proper way and finishing with care etc. complete in all respect as per design drawing and direction of Architect/ Authority.",Standard Quality,Sft, Supply ,10%,230.23,209.09,20.91,230,0.10%,0.23
25581,"CERAMIC WALL TILE [local] Supplying, fitting and fixing colored glazed wall tiles [Spanish] of 12"" x 20""  & quality on 20 mm thick cement mortar [1:2] base and raking out the joints with white cement including cutting and laying the tiles in proper way and finishing with care etc. complete in all respect as per design drawing and direction of Architect/ Authority.",Standard Quality,Sft, Supply ,10%,186.23,169.09,16.91,186,0.12%,0.23
25582,"MIRROR POLISHED HOMOGENEOUS FLOOR TILE [Local] Supplying, fitting and fixing homogeneous floor tiles [Imported] of 24"" x 48"" size and quality on 20 mm thick cement mortar (1:2) base or by ?CONMIX? base and raking out the joints with white cement and colored pigment including cutting by electric disk cutter and laying tiles in proper way in/c chipping or dismantling of existing floor if necessary and finishing with care etc., complete in all respect as per design drawing and direction of Architect/Authority. ",Standard Quality,Sft, Supply ,10%,358.14,325.45,32.55,358,0.04%,0.14
25583,"MIRROR POLISHED HOMOGENEOUS FLOOR TILE [Local] Supplying, fitting and fixing homogeneous floor tiles [Imported] of 32"" x 32"" size and quality on 20 mm thick cement mortar (1:2) base or by ?CONMIX? base and raking out the joints with white cement and colored pigment including cutting by electric disk cutter and laying tiles in proper way in/c chipping or dismantling of existing floor if necessary and finishing with care etc., complete in all respect as per design drawing and direction of Architect/Authority. ",Standard Quality,Sft, Supply ,10%,322.33,292.73,29.27,322,0.10%,0.33
25584,Urinal Flush,COTTO,Nos, Supply ,10%,15348.84,13952.73,1395.27,15348,0.01%,0.84
25585,Urinal Flush,Standard Brand,Nos, Supply ,10%,7674.42,6976.36,697.64,7674,0.01%,0.42
25586,PVC False Ceiling,Standrad,sft, Supply ,10%,122.79,110.91,11.09,122,0.64%,0.79
25587,HPL Board 18mm,Standrad,sft, Supply ,10%,767.44,697.27,69.73,767,0.06%,0.44
25588,HPL Ply wood 18mm,Standrad,sft, Supply ,10%,460.47,418.18,41.82,460,0.10%,0.47
25589,Accessories for board installation,Standrad,Set, Supply ,10%,3069.77,2790.00,279.00,3069,0.03%,0.77
25590,"MARBLE WORKS  Supplying, fitting and fixing following stone on walls/columns over minimum 18 mm thick cement mortar [1:2] in/c cutting, grinding and polishing the stones, setting in position keeping horizontal & Vertical alignment correct, filling the joints with same color putty, making grooves, finishing with care, etc. complete in all respect as per design, drawing & direction of Authority. Note: [1] Quality, color & texture of Granite stone must be approved before fixing [2] There may be combination of shades for claded materials.",Standard Quality,sft, Supply ,10%,1227.91,1115.45,111.55,1227,0.07%,0.91
25591,"GRANITE WORKS  Supplying, fitting and fixing following stone on walls/columns over minimum 18 mm thick cement mortar [1:2] in/c cutting, grinding and polishing the stones, setting in position keeping horizontal & Vertical alignment correct, filling the joints with same color putty, making grooves, finishing with care, etc. complete in all respect as per design, drawing & direction of Authority. Note: [1] Quality, color & texture of Granite stone must be approved before fixing [2] There may be combination of shades for claded materials.",Z-Black-Glossy,sft, Supply ,10%,1227.91,1115.45,111.55,1227,0.07%,0.91
25592,"GRANITE WORKS  Supplying, fitting and fixing following stone on walls/columns over minimum 18 mm thick cement mortar [1:2] in/c cutting, grinding and polishing the stones, setting in position keeping horizontal & Vertical alignment correct, filling the joints with same color putty, making grooves, finishing with care, etc. complete in all respect as per design, drawing & direction of Authority. Note: [1] Quality, color & texture of Granite stone must be approved before fixing [2] There may be combination of shades for claded materials.",European,sft, Supply ,10%,1432.56,1301.82,130.18,1432,0.04%,0.56
25593,Ball Cock,Cotto,Nos, Supply ,10%,11255.81,10231.82,1023.18,11255,0.01%,0.81
25594,Commode Seat Cover,Cotto,Nos, Supply ,10%,13302.33,12092.73,1209.27,13302,0.00%,0.33
25595,Positive Negative M-Seal,Standard Brand,Nos, Supply ,10%,184.19,167.27,16.73,184,0.10%,0.19
25596,Liquid Soap case - Glass,Glass,Nos, Supply ,10%,1023.26,930.00,93.00,1023,0.03%,0.26
25597,Mobile Stand for Washroom,SS,Nos, Supply ,10%,1023.26,930.00,93.00,1023,0.03%,0.26
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
